Location name,Address,Day,Times,Date added,area
New World Green Bay,"64 Godley Road, Green Bay, Auckland 0604",Tuesday 17 August,7.00 pm - 8.00 pm,19-Aug,Auckland
Domino's Birkenhead,"Unit A/174 Mokoia Rd, Birkenhead, Auckland, 0626",Tuesday 17 August,5.30 pm - 5.40 pm,19-Aug,Auckland
Bus 25B City Centre to Blockhouse Bay,Bus 25B,Tuesday 17 August,1.45 pm - 2.15 pm,18-Aug,Auckland
Mamak Malaysian Restaurant,"50 Kitchener Street, Auckland Central, 1010",Tuesday 17 August,1.15 pm - 1.30 pm,18-Aug,Auckland
Dress Smart Onehunga,"151 Arthur Street, Onehunga, Auckland, 1061",Tuesday 17 August,12.30 pm - 1.30 pm,19-Aug,Auckland
Auckland University of Technology,"2 Governor Fitzroy Place, Auckland Central, Auckland 1010",Tuesday 17 August,11.30 am - 1.00 pm,18-Aug,Auckland
Bus 25B Blockhouse Bay to City Centre,Bus 25B,Tuesday 17 August,11.00 am - 11.30 am,19-Aug,Auckland
KFC Botany Downs,"452 Ti Rakau Drive, Botany Downs, Auckland 2013",Tuesday 17 August,10.30 am - 10.40 am,19-Aug,Auckland
Countdown Botany Downs,"Cnr Te Irirangi Drive &, Ti Rakau Drive, Botany Downs, Auckland 2023",Tuesday 17 August,10.20 am - 10.30 am,19-Aug,Auckland
Botany Town Centre Bus Stop,"Town Centre Dr, East Tamaki, Auckland 2013",Tuesday 17 August,9.52 am - 9.57 am,19-Aug,Auckland
Bus #70 Pakuranga Town Centre to Botany Town Centre,Bus 70,Tuesday 17 August,9.38 am - 9.52 am,19-Aug,Auckland
Unichem Pharmacy Birkenhead,"Birkenhead Avenue Shop 28, Highbury Shopping Centre",Tuesday 17 August,9.15 am - 9.30 am,18-Aug,Auckland
PlaceMakers New Lynn,"17 Clark Street, New Lynn, Auckland, 0600",Tuesday 17 August,9.00 am - 9.40 am,19-Aug,Auckland
Passion Bakery,"34 Birkdale Road, Birkdale, Auckland 0626",Tuesday 17 August,8.30 am - 9.45 am,19-Aug,Auckland
Bus 95B or 95C Glenfiled Mall to Northcote College,Bus 95B or 95C,Tuesday 17 August,8.27 am - 8.40 am,19-Aug,Auckland
Bus 926 15 Bently Avenue to Glenfield Mall 17/08/2021,Bus 926,Tuesday 17 August,8.20 am - 8.30 am,19-Aug,Auckland
New World Mt Roskill,"53 May Road, Mt Roskill, Auckland 1041",Monday 16 August,7.00 pm - 7.20 pm,19-Aug,Auckland
Green Bay Takeaways,"56B Godley Road, Green Bay, Auckland 0604",Monday 16 August,4.00 pm - 4.15 pm,18-Aug,Auckland
Coyle Park (Point Chevalier Beach),"Point Chevalier Road, Point Chevalier, Auckland 1022",Monday 16 August,2.00 pm - 2.45 pm,19-Aug,Auckland
Pizza Hut Birkenhead,"3/75 Mokoia Road, Birkenhead, 0626",Monday 16 August,1.30 pm - 2.00 pm,18-Aug,Auckland
Devonport Pharmacy Devonport,"33 Victoria Road, Devonport, Auckland 0624",Monday 16 August,2.15 pm - 2.30 pm,17-Aug,Auckland
Passion Bakery,"34 Birkdale Road, Birkdale, Auckland 0626",Monday 16 August,12.45 pm - 1.15 pm,18-Aug,Auckland
"Dress Smart, Onehunga","151 Arthur Street, Onehunga, Auckland, 1061",Monday 16 August,12.30 pm - 1.30 pm,19-Aug,Auckland
Countdown Birkenhead,"Cnr Highbury Pass & Birkenhead Ave, Birkenhead, 0626",Monday 16 August,12.30 pm - 12.45 pm,18-Aug,Auckland
Z Harris Road Service Station,"142 Harris Road, East Tamaki, Auckland 2013",Monday 16 August,12.00 pm - 12.10 pm,19-Aug,Auckland
Bunnings Mt Roskill,"2 Carr Road, Three Kings, Auckland, 1042",Monday 16 August,10.00 am - 10.30 am,19-Aug,Auckland
Avondale College,"51 Victor Street, Avondale, Auckland 1026",Monday 16 August,8.45 am - 12.00 pm,18-Aug,Auckland
Warehouse New Lynn,"7/13 Rata Street, New Lynn, Auckland 0600",Monday 16 August,7.45 am - 8.15am,18-Aug,Auckland
Countdown Birkenhead,"Cnr Highbury Pass & Birkenhead Ave, Birkenhead, 0626",Monday 16 August,7.00 am - 7.15 am,18-Aug,Auckland
BP Northcote,"50 Northcote Road, Northcote, Auckland 0627",Sunday 15 August,7.15 pm - 7.30 pm,18-Aug,Auckland
"Countdown, Lynfield","570 Hillsborough Road, Mount Roskill, 1041",Sunday 15 August,8.00 pm - 8.15 pm,18-Aug,Auckland
Church of Christ Mt Roskill,"361 Mount Albert Road, Mount Roskill, Auckland, 1041",Sunday 15 August,7.00 pm - 9.00 pm,19-Aug,Auckland
KFC Takapuna,"1 Taharoto Road, Takapuna, Auckland 0622",Sunday 15 August,5.50 pm - 6.30 pm,19-Aug,Auckland
Laundromatic - Chartwell,"27 Chartwell Avenue, Glenfield, 0629",Sunday 15 August,5.25 pm - 5.29 pm,19-Aug,Auckland
Chartwell Liquor,"27 Chartwell Avenue, Glenfield, 0629",Sunday 15 August,5.25 pm - 5.29 pm,18-Aug,Auckland
"Movie Monterey, Takapuna","32 Anzac Street, Takapuna, Auckland 0622",Sunday 15 August,3.36 pm - 5.45 pm,19-Aug,Auckland
Countdown Takapuna,"10 Barrys Point Road, Takapuna, Auckland 0622",Sunday 15 August,3.20 pm - 3.30 pm,19-Aug,Auckland
"Manukau Memorial Gardens, Manukau","361 Puhinui Road, Wiri, Auckland, 2025",Sunday 15 August,1.30 pm - 2.30 pm,19-Aug,Auckland
The Pumphouse Theatre,"2A Manurere Avenue, Takapuna, 0622",Sunday 15 August,1.30 pm - 7.30 pm,18-Aug,Auckland
Glenfield Mall / Katsubi Japanese,"Glenfield Road & Downing Street, Glenfield, 0629",Sunday 15 August,1.00 pm - 2.00 pm,18-Aug,Auckland
