report_date,case_count
2020-02-26,1
2020-03-02,1
2020-03-04,2
2020-03-05,2
2020-03-06,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,7
2020-03-17,12
2020-03-18,5
2020-03-19,18
2020-03-20,11
2020-03-21,24
2020-03-22,44
2020-03-23,41
2020-03-24,58
2020-03-25,84
2020-03-26,79
2020-03-27,75
2020-03-28,72
2020-03-29,74
2020-03-30,52
2020-03-31,77
2020-04-01,73
2020-04-02,82
2020-04-03,75
2020-04-04,77
2020-04-05,70
2020-04-06,53
2020-04-07,37
2020-04-08,28
2020-04-09,44
2020-04-10,27
2020-04-11,25
2020-04-12,20
2020-04-13,11
2020-04-14,16
2020-04-15,11
2020-04-16,17
2020-04-17,12
2020-04-18,10
2020-04-19,10
2020-04-20,3
2020-04-21,6
2020-04-22,5
2020-04-23,5
2020-04-24,6
2020-04-25,6
2020-04-26,3
2020-04-27,3
2020-04-28,1
2020-04-29,2
2020-04-30,3
2020-05-01,6
2020-05-03,1
2020-05-05,2
2020-05-06,2
2020-05-07,1
2020-05-08,1
2020-05-09,1
2020-05-10,3
2020-05-14,1
2020-05-15,1
2020-05-22,1
2020-06-16,2
2020-08-11,4
2020-08-12,13
2020-08-13,12
2020-08-14,5
2020-08-15,13
2020-08-16,12
2020-08-17,9
2020-08-18,10
2020-08-19,5
2020-08-20,5
2020-08-21,7
2020-08-22,2
2020-08-23,7
2020-08-24,7
2020-08-25,3
2020-08-26,5
2020-08-27,6
2020-08-28,9
2020-08-29,4
2020-08-30,4
2020-08-31,2
2020-09-01,4
2020-09-02,4
2020-09-03,2
2020-09-04,2
2020-09-05,5
2020-09-06,2
2020-09-07,4
2020-09-08,6
2020-09-09,1
2020-09-10,2
2020-09-11,2
2020-09-12,1
2020-09-13,1
2020-09-14,1
2020-09-16,5
2020-09-18,1
2020-09-19,2
2020-09-21,1
2020-09-22,3
2020-09-24,1
2020-10-02,1
2020-10-17,1
2020-10-21,2
2020-10-22,1
2020-11-02,1
2020-11-03,1
2020-11-06,1
2020-11-07,1
2020-11-11,1
2020-11-12,1
2020-11-14,1
2020-11-18,1
2021-01-09,1
2021-01-14,1
2021-01-20,1
2021-01-27,2
2021-02-04,1
2021-02-13,2
2021-02-14,1
2021-02-16,1
2021-02-17,2
2021-02-19,1
2021-02-21,1
2021-02-23,3
2021-02-26,1
2021-02-27,2
2021-02-28,1
2021-03-19,1
2021-03-20,1
2021-04-10,1
2021-04-15,1
2021-04-18,1
2021-04-21,1
2021-08-17,5
2021-08-18,2
