report_date,case_count
2020-06-17,1
2020-06-19,2
2020-06-20,1
2020-06-21,3
2020-06-22,2
2020-06-23,1
2020-06-24,3
2020-06-25,1
2020-06-26,1
2020-06-27,5
2020-06-28,1
2020-06-29,1
2020-07-01,1
2020-07-02,1
2020-07-05,3
2020-07-06,3
2020-07-07,2
2020-07-08,2
2020-07-09,3
2020-07-11,1
2020-07-13,1
2020-07-14,3
2020-07-16,1
2020-07-17,2
2020-07-18,2
2020-07-19,1
2020-07-20,1
2020-07-24,1
2020-07-27,2
2020-07-28,1
2020-07-29,1
2020-07-31,2
2020-08-01,2
2020-08-02,3
2020-08-04,2
2020-08-11,1
2020-08-12,2
2020-08-15,1
2020-08-18,1
2020-08-20,2
2020-08-22,2
2020-08-23,1
2020-08-25,1
2020-08-26,2
2020-08-28,9
2020-08-30,1
2020-08-31,12
2020-09-01,2
2020-09-02,1
2020-09-03,1
2020-09-04,3
2020-09-05,2
2020-09-06,1
2020-09-07,2
2020-09-09,2
2020-09-12,1
2020-09-14,4
2020-09-16,7
2020-09-18,2
2020-09-19,1
2020-09-23,3
2020-09-24,1
2020-09-25,1
2020-09-26,2
2020-09-27,2
2020-09-28,1
2020-09-30,6
2020-10-01,6
2020-10-02,1
2020-10-03,4
2020-10-04,2
2020-10-05,3
2020-10-06,2
2020-10-07,3
2020-10-08,3
2020-10-09,4
2020-10-11,3
2020-10-12,1
2020-10-13,2
2020-10-14,1
2020-10-15,5
2020-10-16,1
2020-10-17,3
2020-10-18,1
2020-10-19,1
2020-10-20,22
2020-10-21,2
2020-10-22,2
2020-10-23,18
2020-10-25,4
2020-10-26,1
2020-10-27,3
2020-10-28,6
2020-10-29,1
2020-10-30,6
2020-10-31,5
2020-11-01,3
2020-11-02,4
2020-11-04,3
2020-11-05,1
2020-11-07,5
2020-11-08,1
2020-11-09,4
2020-11-10,1
2020-11-11,2
2020-11-12,3
2020-11-13,3
2020-11-14,2
2020-11-15,1
2020-11-16,3
2020-11-17,1
2020-11-18,7
2020-11-19,1
2020-11-20,4
2020-11-21,6
2020-11-22,2
2020-11-23,10
2020-11-24,3
2020-11-25,1
2020-11-26,7
2020-11-27,3
2020-11-28,4
2020-11-29,3
2020-11-30,6
2020-12-01,3
2020-12-02,2
2020-12-03,3
2020-12-04,9
2020-12-06,2
2020-12-07,6
2020-12-08,2
2020-12-09,2
2020-12-10,3
