date_time_from,date_time_to,app_registrations,qr_codes_generated,nzbn_registered_businesses,scans,manual_entries,active_devices,bluetooth_active_24hr,origin_date
19/05/2020 12:00,20/05/2020 12:00,92595,NA,NA,1407,0,NA,NA,0019-05-20
20/05/2020 12:00,21/05/2020 12:00,143405,5800,11411,11411,0,NA,NA,0020-05-20
21/05/2020 12:00,22/05/2020 12:00,57000,4892,23561,23561,0,NA,NA,0021-05-20
22/05/2020 12:00,23/05/2020 12:00,31000,1528,30275,30275,0,NA,NA,0022-05-20
23/05/2020 12:00,24/05/2020 12:00,30000,NA,NA,31444,0,NA,NA,0023-05-20
24/05/2020 12:00,25/05/2020 12:00,26000,NA,NA,29426,0,NA,NA,0024-05-20
25/05/2020 12:00,26/05/2020 12:00,25000,3330,NA,31629,0,NA,NA,0025-05-20
26/05/2020 12:00,27/05/2020 12:00,17000,1510,NA,36794,0,NA,NA,0026-05-20
27/05/2020 12:00,28/05/2020 12:00,14000,1200,NA,39216,0,NA,NA,0027-05-20
28/05/2020 12:00,29/05/2020 12:00,10000,1270,NA,43473,0,NA,NA,0028-05-20
29/05/2020 12:00,30/05/2020 12:00,12000,NA,NA,48091,0,NA,NA,0029-05-20
30/05/2020 12:00,31/05/2020 12:00,10000,1097,10679,51353,0,NA,NA,0030-05-20
31/05/2020 12:00,01/06/2020 12:00,8000,NA,NA,41061,0,NA,NA,0031-05-20
01/06/2020 12:00,02/06/2020 12:00,6000,588,301,41382,0,NA,NA,0001-06-20
02/06/2020 12:00,03/06/2020 12:00,5000,2797,NA,39801,0,NA,NA,0002-06-20
03/06/2020 12:00,04/06/2020 12:00,8000,NA,NA,43562,0,NA,NA,0003-06-20
04/06/2020 12:00,05/06/2020 12:00,6000,8061,4805,45368,0,NA,NA,0004-06-20
05/06/2020 12:00,06/06/2020 12:00,10645,NA,NA,49272,0,NA,NA,0005-06-20
06/06/2020 12:00,07/06/2020 12:00,5355,NA,NA,50110,0,NA,NA,0006-06-20
07/06/2020 12:00,08/06/2020 12:00,5000,5431,2722,47585,0,NA,NA,0007-06-20
08/06/2020 12:00,09/06/2020 12:00,13000,3199,1227,43688,0,NA,NA,0008-06-20
09/06/2020 12:00,10/06/2020 12:00,6000,2619,805,41358,0,NA,NA,0009-06-20
10/06/2020 12:00,11/06/2020 12:00,5000,1778,368,40404,0,NA,NA,0010-06-20
11/06/2020 12:00,12/06/2020 12:00,4000,1600,193,36798,0,NA,NA,0011-06-20
12/06/2020 12:00,13/06/2020 12:00,2000,777,330,30559,0,NA,NA,0012-06-20
13/06/2020 12:00,14/06/2020 12:00,2000,358,171,26429,0,NA,NA,0013-06-20
14/06/2020 12:00,15/06/2020 12:00,3000,1038,435,26642,0,NA,NA,0014-06-20
15/06/2020 12:00,16/06/2020 12:00,1000,3480,1877,27261,0,NA,NA,0015-06-20
16/06/2020 12:00,17/06/2020 12:00,4000,4199,1729,33006,0,NA,NA,0016-06-20
17/06/2020 12:00,18/06/2020 12:00,3000,3136,975,35471,0,NA,NA,0017-06-20
18/06/2020 12:00,19/06/2020 12:00,4000,2491,815,34190,0,NA,NA,0018-06-20
19/06/2020 12:00,20/06/2020 12:00,2000,878,352,24013,0,NA,NA,0019-06-20
20/06/2020 12:00,21/06/2020 12:00,2000,103,61,15885,0,NA,NA,0020-06-20
21/06/2020 12:00,22/06/2020 12:00,3000,516,180,18051,0,NA,NA,0021-06-20
22/06/2020 12:00,23/06/2020 12:00,1000,10081,259,19598,0,NA,NA,0022-06-20
23/06/2020 12:00,24/06/2020 12:00,2000,790,212,19163,0,12169,NA,0023-06-20
24/06/2020 12:00,25/06/2020 12:00,1000,284,118,17780,0,13146,NA,0024-06-20
25/06/2020 12:00,26/06/2020 12:00,1000,316,97,16173,0,11988,NA,0025-06-20
26/06/2020 12:00,27/06/2020 12:00,1000,138,58,12096,0,9009,NA,0026-06-20
27/06/2020 12:00,28/06/2020 12:00,1000,31,19,9925,0,7329,NA,0027-06-20
28/06/2020 12:00,29/06/2020 12:00,1000,NA,NA,11887,0,9336,NA,0028-06-20
29/06/2020 12:00,30/06/2020 12:00,1000,460,189,12878,0,9692,NA,0029-06-20
30/06/2020 12:00,01/07/2020 12:00,1000,150,48,12917,0,9676,NA,0030-06-20
01/07/2020 12:00,02/07/2020 12:00,1000,228,87,12242,0,9175,NA,0001-07-20
02/07/2020 12:00,03/07/2020 12:00,500,97,41,13197,0,8867,NA,0002-07-20
03/07/2020 12:00,04/07/2020 12:00,500,61,28,9985,0,6838,NA,0003-07-20
04/07/2020 12:00,05/07/2020 12:00,800,25,13,7966,0,5399,NA,0004-07-20
05/07/2020 12:00,06/07/2020 12:00,NA,NA,NA,12549,0,6842,NA,0005-07-20
06/07/2020 12:00,07/07/2020 12:00,1200,753,108,13758,0,7153,NA,0006-07-20
07/07/2020 12:00,08/07/2020 12:00,1000,134,33,14857,0,7330,NA,0007-07-20
