origin_date,App registrations,NZBN Registered Businesses
2020-05-19,92595,0
2020-05-20,143405,11411
2020-05-21,57000,23561
2020-05-22,31000,30275
2020-05-23,30000,0
2020-05-24,26000,0
2020-05-25,25000,0
2020-05-26,17000,0
2020-05-27,14000,0
2020-05-28,10000,0
2020-05-29,12000,0
2020-05-30,10000,10679
2020-05-31,8000,0
2020-06-01,6000,301
2020-06-02,5000,0
2020-06-03,8000,0
2020-06-04,6000,4805
2020-06-05,10645,0
2020-06-06,5355,0
2020-06-07,5000,2722
2020-06-08,13000,1227
2020-06-09,6000,805
2020-06-10,5000,368
2020-06-11,4000,193
2020-06-12,2000,330
2020-06-13,2000,171
2020-06-14,3000,435
2020-06-15,1000,1877
2020-06-16,4000,1729
2020-06-17,3000,975
2020-06-18,4000,815
2020-06-19,2000,352
2020-06-20,2000,61
2020-06-21,3000,180
2020-06-22,1000,259
2020-06-23,2000,212
2020-06-24,1000,118
2020-06-25,1000,97
2020-06-26,1000,58
2020-06-27,1000,19
2020-06-28,1000,0
2020-06-29,1000,189
2020-06-30,1000,48
2020-07-01,1000,87
2020-07-02,500,41
2020-07-03,500,28
2020-07-04,800,13
2020-07-05,0,0
2020-07-06,1200,108
2020-07-07,1000,33
2020-07-08,1000,46
2020-07-09,700,52
2020-07-10,0,0
2020-07-11,0,0
2020-07-12,1300,58
2020-07-13,0,0
2020-07-14,2000,156
2020-07-15,11000,431
2020-07-16,4500,357
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,3900,225
2020-07-20,900,111
2020-07-21,900,88
2020-07-22,800,83
2020-07-23,800,87
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,1200,60
2020-07-27,500,51
2020-07-28,500,47
2020-07-29,400,36
2020-07-30,1000,41
2020-07-31,0,0
2020-08-01,0,0
2020-08-02,4000,137
2020-08-03,1500,96
2020-08-04,2800,205
2020-08-05,6400,542
2020-08-06,4300,456
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,5000,342
2020-08-10,1600,189
2020-08-11,105000,7486
2020-08-12,233200,19916
2020-08-13,186600,15423
2020-08-14,130400,6351
2020-08-15,71000,2656
2020-08-16,68100,7762
2020-08-17,56700,7749
2020-08-18,57100,5890
2020-08-19,70400,6142
2020-08-20,48100,2713
2020-08-21,37400,1305
2020-08-22,32000,439
2020-08-23,31300,1400
2020-08-24,44600,977
2020-08-25,28700,712
2020-08-26,34400,731
2020-08-27,25400,634
2020-08-28,10700,122
2020-08-29,21700,229
2020-08-30,45500,1866
2020-08-31,36500,403
2020-09-01,27400,996
2020-09-02,23700,482
2020-09-03,20000,397
2020-09-04,12800,84
2020-09-05,18600,139
2020-09-06,20200,348
2020-09-07,10900,243
2020-09-08,10400,199
2020-09-09,10600,184
2020-09-10,9400,179
2020-09-11,4000,41
2020-09-12,8700,56
2020-09-13,10918,207
2020-09-14,7282,155
2020-09-15,6400,119
2020-09-16,6100,138
2020-09-17,5400,102
2020-09-18,0,0
2020-09-19,0,0
2020-09-20,14500,172
2020-09-21,3800,100
2020-09-22,3200,86
2020-09-23,3400,77
2020-09-24,13000,81
2020-09-25,0,0
2020-09-26,0,0
2020-09-27,9000,180
2020-09-28,2300,68
2020-09-29,2000,92
2020-09-30,2000,62
2020-10-01,2000,66
2020-10-02,900,27
2020-10-03,1800,26
2020-10-04,2800,66
2020-10-05,2000,52
2020-10-06,1100,56
2020-10-07,1400,34
2020-10-08,1300,55
2020-10-09,1400,14
2020-10-10,700,25
2020-10-11,900,61
2020-10-12,900,54
2020-10-13,800,40
2020-10-14,800,57
2020-10-15,700,40
2020-10-16,600,3
2020-10-17,700,22
2020-10-18,1200,42
2020-10-19,600,50
2020-10-20,700,45
2020-10-21,1500,53
2020-10-22,2900,68
2020-10-23,4800,40
2020-10-24,4000,32
2020-10-25,2300,25
2020-10-26,2800,86
2020-10-27,1400,63
2020-10-28,900,23
2020-10-29,1100,79
2020-10-30,700,19
2020-10-31,1000,31
2020-11-01,900,81
2020-11-02,1200,89
2020-11-03,1900,76
2020-11-04,1825,24
2020-11-05,1075,101
2020-11-06,800,15
2020-11-07,1100,24
2020-11-08,2400,79
2020-11-09,1711,72
2020-11-10,1051,49
2020-11-11,1138,52
2020-11-12,6100,136
2020-11-13,2700,34
2020-11-14,3100,38
2020-11-15,3200,103
2020-11-16,2800,92
2020-11-17,2200,70
2020-11-18,1900,80
2020-11-19,2300,63
2020-11-20,1500,0
2020-11-21,1200,0
2020-11-22,1700,135
2020-11-23,1300,22
2020-11-24,1500,88
2020-11-25,1400,54
2020-11-26,1700,47
2020-11-27,600,15
2020-11-28,1200,25
2020-11-29,1600,61
2020-11-30,1200,66
2020-12-01,1000,22
2020-12-02,1000,74
